name;hash;reboot_date;reboot_time;ip;or_port;fast;running;stable;v2dir;valid;exit;guard;hsdir;badexit;staledesc;authority
island;AfwWnK9EnV5e9nUj9pNG58tqBXI;2022-08-05;20:37:18;109.207.77.201;443;True;True;True;True;True;False;True;False;False;False;False
GrmmlDag;Ah3c1of9UFt+p+ddps7w13iqB/s;2022-08-05;15:20:05;213.239.215.221;9001;True;True;False;True;True;False;False;False;False;False;False
c0der;AjUfyI0L8G9s3lRSZWZB5hGdvX4;2022-08-05;18:56:45;95.216.20.80;8080;True;True;True;True;True;False;True;True;False;False;False
0xdeadbeef;AlbMf3bkYVf5VwXaxY8OPvnNFYM;2022-08-05;23:23:24;195.90.208.228;9001;True;True;True;True;True;False;True;True;False;False;False
howlin;Ali9rps1FxSwvMDavh15jWYuuog;2022-08-06;08:48:23;45.141.153.214;443;True;True;True;True;True;False;True;True;False;False;False
middleIsenguard;AmVLi5gDd1hgzfLH9xCf9ooTSao;2022-08-06;06:45:14;82.52.172.188;10101;True;True;True;True;True;False;True;False;False;False;False
nologcz;Am0RMUsW/lGh7KquOIZ70LSSceg;2022-08-05;17:00:54;171.25.222.203;9001;True;True;True;True;True;False;True;False;False;False;False
zagreus;AnQPRy0dpcG3dHXxiUD+efFa9Lg;2022-08-06;07:06:00;81.169.222.158;9001;True;True;True;True;True;False;False;True;False;False;False
Digitalcourage4ipeb;An51yS8SMa5fe9ThU2aW/jBAxGA;2022-08-06;07:52:02;185.220.102.244;993;True;True;True;True;True;True;True;True;False;False;False
DataIdeas;ApBMmuisjuuRn31cXv4ItANjyzo;2022-08-05;15:29:55;23.128.248.223;443;True;True;True;True;True;True;False;True;False;False;False
SiggicoinServerAls;ApWNvhCGAW8vUNP9MT5KtP5KoAA;2022-08-05;22:32:24;46.246.106.43;45854;True;True;False;True;True;False;False;False;False;False;False
cLmIsACapitalist;ApZQ7g4+eYA7c1jclLyfw6Nncyw;2022-08-05;15:59:38;85.214.18.225;1329;True;True;True;True;True;False;True;True;False;False;False
onionDAOrel0aded1;AqjMsftwmEImIxKDWW2nNKgOP28;2022-08-05;18:50:42;5.2.79.190;9001;True;True;True;True;True;True;False;True;False;False;False
Shado;ArS1uS7mDVMXoNswEXVzerjxcYo;2022-08-05;20:08:14;152.70.140.84;9001;True;True;True;False;True;False;False;False;False;False;False
Fearless2;AtY0rdm0FnfSg0vyxSA7aDPec4A;2022-08-05;14:54:33;178.170.10.39;9001;True;True;True;True;True;False;True;True;False;False;False
oxi8xiG1eiyo;Atgy8ALUyj0lrdosu7LQnuQaFas;2022-08-06;03:21:57;209.141.37.94;9001;True;True;True;True;True;True;True;True;False;False;False
GladesvilleRelay;AumLvgsSVw5OKXTip0crKX+NmVk;2022-08-05;22:27:03;61.68.121.17;9001;True;True;True;True;True;False;False;True;False;False;False
MoneroItSafe;Ava19u0hVmVlNHqNPoccJmhEoH4;2022-08-06;01:44:28;45.159.249.150;443;True;True;True;False;True;False;False;False;False;False;False
Riley;AxmNXoejnKorhV3rZY/fCnOktYc;2022-08-05;19:57:22;72.95.19.36;9001;True;True;True;True;True;False;True;False;False;False;False
Quetzalcoatl;A1+BMZXwy59Wft/fYMZ0XKNroL0;2022-08-06;04:55:16;104.244.72.7;9000;True;True;True;True;True;True;True;True;False;False;False
arrelay;A2kSKZ6tCvbN/pIuGELDrn3e/jA;2022-08-05;23:04:24;124.170.123.3;9001;True;True;True;True;True;False;False;False;False;False;False
parsel;A24BWthNPGBWZuOjMGsePhiolII;2022-08-06;08:08:36;172.107.202.142;443;True;True;True;True;True;False;True;True;False;False;False
TORKeFFORG9;A279LmHeo9L+5ZhhukJF5N6GQRI;2022-08-05;17:51:57;193.189.100.202;443;True;True;True;True;True;True;True;True;False;False;False
hong;A3Hk7JAcT8d/6iqlvkIY8L4fbOM;2022-08-06;03:27:03;209.58.180.236;9001;True;True;True;True;True;False;True;True;False;False;False
SLOG;A3tsYNrU3zL9opv0WNXIyBaqjz4;2022-08-06;08:47:22;5.154.174.241;443;True;True;True;True;True;False;True;True;False;False;False
dike;A3vNDr332589Vi2ifUY/D3jxSUs;2022-08-05;16:46:19;37.120.171.188;443;True;True;True;True;True;False;True;False;False;False;False
CCCStuttgartBer;A3/yO30JpgRKowsK6hNP/ryaIxo;2022-08-05;21:01:38;185.220.101.78;9000;True;True;True;True;True;True;True;True;False;False;False
turnt;A4ww0q0FMUfJHvsSkVJ+1iHX0bE;2022-08-06;02:53:06;82.221.131.71;443;True;True;True;True;True;True;True;True;False;False;False
ry4an;A5ADwyDZmA4KdA8QehqcE8mcX+M;2022-08-06;01:02:01;45.79.159.52;9001;True;True;True;False;True;False;False;False;False;False;False
psychopomp7;A59Mvf99B/xcgYitwHP4Yyyclwg;2022-08-05;18:36:30;185.220.103.114;443;True;True;True;True;True;True;True;True;False;False;False
TLCOnion;A6M8NFT8D5rGlm8S+khpmfWiKJY;2022-08-05;22:23:58;96.66.15.152;9001;True;True;True;True;True;True;False;True;False;False;False
snakeskin;A7qsh1YOhbKCqU+mkSjgBDhmNRE;2022-08-06;04:36:36;46.148.26.44;9001;True;True;True;True;True;False;True;False;False;False;False
Totonicapanp6;A71WtQcvsH0rTXni+wQ2bUFe8+w;2022-08-05;21:49:07;163.172.76.56;9001;True;True;True;True;True;False;True;True;False;False;False
929oi1u23jd987j;A75z5YH5nv/xmrWC7wx+jmUxzto;2022-08-06;02:03:49;85.215.91.150;9001;True;True;True;True;True;False;True;True;False;False;False
Ichotolot61;A8MGnoFOKW6xh3brYbHst1Ttif4;2022-08-05;23:11:56;81.7.10.193;993;True;True;True;True;True;False;True;True;False;False;False
server001;A8eUQBqS8vAzrV37L8AF1EWRBlQ;2022-08-06;00:25:03;185.163.45.212;443;True;True;True;True;True;False;True;True;False;False;False
NoWarinUkraineNow5;A8woMv7V46pHHMOHQzi5icpFlrY;2022-08-06;08:08:29;164.132.207.62;443;True;True;True;True;True;False;True;True;False;False;False
blackfox;A9HvPvK+UUUVDFisxyUZ3YYOYbo;2022-08-05;22:45:15;136.243.3.194;8000;True;True;True;True;True;False;True;True;False;False;False
NorthSideBlackSheep;A9hHhkSmREb8Q6f6vBVtBbj6ssY;2022-08-06;03:00:46;188.126.94.124;24205;True;True;False;True;True;False;False;False;False;False;False
itzme;A9og/XHO0YjIt2UugZQcUGck26Y;2022-08-06;02:44:44;198.74.57.57;443;True;True;True;True;True;False;False;True;False;False;False
krigernes;A9wIHkQJYxAG78068Tr6rytVP/w;2022-08-06;04:54:34;185.32.221.201;443;True;True;False;True;True;False;False;False;False;False;False
Wildtwister;A+EHo2Y+kSZk9Kk03/RRJiwhg1c;2022-08-06;04:21:19;94.100.6.72;443;True;True;True;True;True;False;False;True;False;False;False
4pyro2eu3org0;A+n35mnI+RHF7sPsCUUzFR+FdCA;2022-08-06;05:24:49;217.155.40.118;9001;True;True;True;True;True;False;True;True;False;False;False
Shockrealm;A+593ZMdkrtXuBswOK58QKCKsjc;2022-08-06;00:16:06;123.30.128.138;443;True;True;True;True;True;True;False;False;False;False;False
arbitrium;A/aKtWkVTEuZXn82UoMiB55IKbk;2022-08-06;08:25:21;187.20.52.94;9090;True;True;False;True;True;True;False;False;False;False;False
FreeMirrorOrgIL;A/jHfcBaogKwYipvpEovopqLU0s;2022-08-06;06:31:48;109.207.77.145;443;True;True;True;True;True;False;True;False;False;False;False
stars1;BAlgXoNDVip5D/6EbLO9fARCn3A;2022-08-06;00:06:18;158.69.204.36;443;True;True;True;True;True;False;True;False;False;False;False
StormyCloud;BA9e3m+0Zx5O4Szy3w+4IVHcIls;2022-08-06;04:42:43;23.128.248.83;443;True;True;True;True;True;True;True;True;False;False;False
EntitaetNull;BBFTINEeJYPsP3+UStLUGfm4QQI;2022-08-06;03:03:04;85.214.156.28;9001;False;True;True;True;True;False;False;False;False;False;False
QuintexAirVPN26;BBZGZAqzBup0sAGWboYWmwTMiNI;2022-08-05;15:38:17;199.249.230.79;443;True;True;True;True;True;True;True;True;False;False;False
ecuasterces;BCvN8tNteu4HDghtrUtX8nsvEUM;2022-08-05;23:29:20;66.175.235.244;443;True;True;True;True;True;False;True;False;False;False;False
arbertDelroth;BDK+6Cn8sVXOks9Bi3KA+YSeEtA;2022-08-06;04:32:33;77.109.152.80;143;True;True;True;True;True;False;True;True;False;False;False
johnsrelay;BDmrc7srhzD8sVsYJSko/Awu35E;2022-08-06;01:31:37;95.216.22.87;4080;True;True;True;True;True;False;True;True;False;False;False
Unnamed;BDv8ouxm7+/rT1yGqkdjn9bZHck;2022-08-05;18:01:14;27.133.132.212;9001;True;True;False;True;True;False;False;False;False;False;False
YetAnoPotato;BETvNEIzai/OqvXXJHMilAJp/rs;2022-08-06;07:51:05;149.28.126.255;9001;True;True;False;False;True;False;False;False;False;False;False
SchleswigHolstein3;BEYA/ZaHKKbyINU0etiX9CG3V8A;2022-08-05;15:23:51;23.129.64.173;443;True;True;True;True;True;False;False;True;False;False;False
vovis;BEbHXnEF2FyRKdg3fswT0FEEpH8;2022-08-05;23:59:45;201.80.78.133;9001;True;True;True;True;True;True;False;False;False;False;False
bauruine;BFu8qWAqIsESmE8lADzUiXz/ueU;2022-08-06;01:32:53;185.229.90.81;443;True;True;True;True;True;False;True;False;False;False;False
bauruine;BGUXNsZXwgMTiHy58Q2pU8O1xaU;2022-08-06;01:32:47;95.214.54.164;8444;True;True;True;True;True;False;False;False;False;False;False
Zwiebelmett;BG8tWahfrmk2dqh1M3F8V0NiYcI;2022-08-05;22:42:05;95.217.62.4;9001;True;True;True;True;True;False;True;True;False;False;False
ForPrivacyNET;BHSc1qa+HAsU7mPf0PE+657+6Ks;2022-08-05;22:45:41;185.220.101.51;10051;True;True;False;True;True;True;False;False;False;False;False
artikel10ber80;BH6W5RvoMvxOlf45mkN+GLlXtrM;2022-08-05;23:27:35;185.220.101.231;9443;True;True;True;True;True;False;True;False;False;False;False
hviv117;BIUCego0nUVNl49sHOzdKeoXdpo;2022-08-05;19:25:40;192.42.116.17;443;True;True;True;True;True;True;True;True;False;False;False
vhome;BIzNAQGTBulehX97vJrjLSW1OKg;2022-08-05;19:48:24;92.205.62.207;9001;True;True;True;True;True;False;False;True;False;False;False
Scarab;BJKYmGR3qJQHqnAxFkXQSX8eD+E;2022-08-05;20:53:24;146.19.213.39;443;True;True;True;True;True;False;True;False;False;False;False
HackerBobRelay;BJcAuJ2QSGaC9PlrmMWJ8YcxJn0;2022-08-06;03:18:55;85.214.49.28;443;True;True;True;True;True;False;True;True;False;False;False
reallyniceplace;BJhSoQgFg16assVR1sQ4vm3oskw;2022-08-06;03:04:47;193.218.118.180;9001;True;True;False;True;True;False;False;False;False;False;False
darknebula;BKKKYvJ9nEpg+e0MQmTpi5iMZaM;2022-08-06;06:28:57;163.172.169.253;9001;True;True;True;True;True;False;True;False;False;False;False
myOtherRelay;BK5d1jA8UhavCh6cY5xLMjOQZNU;2022-08-06;01:24:36;93.218.186.202;9006;True;True;False;True;True;False;False;False;False;False;False
aaron0x10c;BMNGi+JHQDR8vMAFNMlA28vKvII;2022-08-06;06:05:26;51.158.187.110;443;True;True;True;True;True;False;True;False;False;False;False
MitExtraSwibelePls;BNdF8xvrQH0F6/eziA/MsktWYf8;2022-08-05;19:34:11;91.132.145.129;443;True;True;True;True;True;False;True;False;False;False;False
Assange006us2;BNnOqNd4q6EwsBT3WMK8rdMdoF4;2022-08-05;20:41:11;207.244.238.230;9201;True;True;True;True;True;False;True;False;False;False;False
rofltor08;BOO1kl619mxuyBCj13AuDKP51ec;2022-08-05;21:35:51;95.216.136.46;9001;True;True;True;False;True;False;False;False;False;False;False
dorinne;BO5eGyMSfSajb3HGaBDYiwuAu5E;2022-08-05;18:08:54;91.213.233.138;443;True;True;True;True;True;False;False;True;False;False;False
artikel10ber57;BQoSRe7Ha3Q4M3uq8Z9KsGZrN18;2022-08-06;06:11:10;185.220.101.29;8443;True;True;True;True;True;True;False;True;False;False;False
adhoczone;BQp7JsDKymrpo3teNCs9XMVseQo;2022-08-06;06:01:06;185.206.146.238;9001;True;True;True;False;True;False;False;False;False;False;False
monkeybrains;BQ5hXYL9OlZgz+ajhVbJ9heMHlc;2022-08-05;15:15:03;209.141.41.225;443;True;True;True;True;True;True;True;False;False;False;False
AccessNow007;BRYIXWysQO1M3O/fxcz2sA3mHe0;2022-08-05;20:39:28;185.195.71.9;443;True;True;True;True;True;True;True;False;False;False;False
icecitadel;BRvubZ3qPC6fIDwfaNaDzNbyrEA;2022-08-06;08:48:06;54.36.174.4;9001;True;True;True;True;True;False;False;False;False;False;False
mevPLXicebeer01;BR0npO/igy1cnf5c9Y8kSKBbSJo;2022-08-06;04:34:42;95.214.54.97;5118;True;True;True;True;True;True;True;True;False;False;False
artikel10ber65;BS3SZb3Jn3rJiz2wNlLDbjarNUE;2022-08-06;06:12:41;185.220.101.224;8443;True;True;True;True;True;False;True;True;False;False;False
vivaukraine;BTrOisyTCStb+DEHc9gThT0CeXM;2022-08-05;18:32:32;176.9.106.220;9001;True;True;False;True;True;False;False;False;False;False;False
gh0stx74;BUAq7HOFVMUwj7B8polh1TJtXUo;2022-08-05;19:50:45;51.75.65.102;9001;True;True;True;True;True;False;True;False;False;False;False
captains1;BUHOni3ajAsdmI+2QNZZFrBoPDU;2022-08-05;15:33:00;45.58.152.45;443;True;True;True;True;True;False;True;False;False;False;False
RelayChu;BUr1rl2kqguB1xVVQq8gQlLLbWE;2022-08-06;06:38:25;150.230.20.28;9001;True;True;True;True;True;False;False;True;False;False;False
KubaJaKubikula;BVLbSvovKA2iGPzOacSd4LVsDek;2022-08-05;23:35:54;92.104.13.47;9001;True;True;True;True;True;False;False;True;False;False;False
KatyPerry;BVMOdR6A4RcS9726B3ZZsvBEfIQ;2022-08-06;06:12:24;76.113.154.181;9001;True;True;True;True;True;False;True;False;False;False;False
prsv;BVeRDYFy5COnmE8UhEMpLpUkcRs;2022-08-05;19:11:09;2.58.56.101;9100;True;True;True;True;True;True;True;False;False;False;False
tor4;BVurwJajb0H82hngiFn7HDSrWlo;2022-08-06;08:07:27;193.56.240.73;443;True;True;True;True;True;False;False;False;False;False;False
Unnamed;BWgal2eDTZ7am9/k4Vob1zxP388;2022-08-06;00:02:42;109.236.83.11;46810;False;True;True;True;True;False;False;False;False;False;False
myNiceRelay938635;BZOhGlwQo/o9xpxyVqgY0pSWHJg;2022-08-06;08:13:46;188.154.144.172;9847;True;True;True;True;True;False;False;True;False;False;False
sonolbellsan;BbFCq0/LwBSCucj2WIsiHC4ZPu8;2022-08-05;17:11:51;121.50.43.135;443;True;True;False;True;True;False;False;False;False;False;False
Zuluha;BcGpd8kjC+ZCrrOrkQdpw+771kw;2022-08-06;07:30:05;86.107.103.14;9001;True;True;True;False;True;False;False;False;False;False;False
ranchiJH;BcKe8BLyChUrBgVzhtWoskUwnQ8;2022-08-06;08:22:26;129.154.227.10;9001;True;True;True;True;True;False;True;False;False;False;False
TORtuga;BcMsXuFEVODEzYHa4PPcMvcp2ks;2022-08-05;17:28:48;144.76.86.5;8080;True;True;True;True;True;False;True;True;False;False;False
h3u60M7iPf;BcRtFVSVkWohAhMAa2TMmfuQPNU;2022-08-06;03:06:29;85.212.97.188;9001;True;True;False;True;True;False;False;False;False;False;False
electroncash;BcYhtE72gziJrnt+KgtHZWnEfjc;2022-08-06;06:16:47;193.135.10.219;59999;True;True;True;True;True;False;False;True;False;False;False
Unnamed;BcewzHHBse/9gNC1g9KZm17tavc;2022-08-05;16:00:39;24.49.67.120;9002;True;True;True;True;True;False;True;True;False;False;False
Taco;Bd27dKq28Z4AMYhwKx5U8jA10GQ;2022-08-06;04:47:16;37.48.120.47;110;True;True;True;False;True;False;False;False;False;False;False
Unnamed;BeyQuo5A8iUS8bjaqPpBc1B1/lg;2022-08-06;05:14:09;118.243.156.45;9001;True;True;True;True;True;False;False;True;False;False;False
FreeUyghur;BfUGKUMFRkbMemVTLOUlmAUmKPo;2022-08-06;00:59:03;163.172.211.16;443;True;True;True;True;True;False;True;True;False;False;False
HelpCensoredOnes;Bf+jnXHaEW92aepO5ToLrqMVun8;2022-08-05;22:05:27;85.93.218.204;9001;True;True;True;True;True;True;True;False;False;False;False
l1st3n;Bf/OkYlNpqdM85wMY08ynL8JQj0;2022-08-06;06:46:00;135.125.250.251;443;True;True;True;True;True;False;True;False;False;False;False
relayon1177;BgOlCfceeGuuBpS6NdA7PjklW0k;2022-08-05;17:10:14;185.220.101.177;11177;True;True;True;True;True;False;False;True;False;False;False
xbHnAiyz;BhdhnBuqJhCr5s54wl926l9VChw;2022-08-05;22:14:37;178.17.171.109;443;True;True;True;True;True;True;False;True;False;False;False
loglessRelay1;Bh4ElpMdI6gaK2hckznTaFfdD6E;2022-08-06;05:16:14;163.172.184.32;443;True;True;True;True;True;False;True;False;False;False;False
bgbaeveRelay;BiBACCTmQSKq7NJxwbanD0GDnMA;2022-08-06;05:42:00;85.191.207.22;9001;True;True;True;True;True;False;False;True;False;False;False
